100,
50,
-6079,-8162,-12139,-11859,-2860,-5907,-7559,-16380,-16032,-6752,11553,-15861,15085,-5332,2021,12664,9657,-172,-9724,12979,-12326,-11045,-9735,15879,6105,9664,16343,13342,-8385,2784,-12708,14842,5211,15098,-5117,13043,-6331,9305,13003,4384,4450,-1950,14731,14834,3374,6974,-4850,7054,-348,12186
7936,13798,-9906,-8552,6452,-6509,10700,299,1273,-2887,-6744,-8497,-7186,997,2835,-11135,-15799,-16208,9318,-2309,12558,-10609,16346,-2410,-7199,15707,-448,-1362,1605,2981,-6070,5617,-2143,12837,4551,-1851,-15863,9415,-14451,-10841,-15442,-14979,-8682,-15891,3792,-11775,2871,8553,-6537,-12866
-15621,-16105,11570,-4555,8445,4069,-2037,3562,-3070,8444,-7048,-7382,-12517,13864,-6621,-3140,12800,-5488,-2493,-4558,2921,-9283,13295,-2500,16028,14847,-7092,11,10179,13977,-11927,4991,-13971,729,-6914,-15412,-1516,4456,5798,-6644,-1835,-15512,-13776,-2616,-7746,-12084,-15342,-15262,-14117,907
5323,-1965,169,12003,3228,-16364,10473,10880,12638,-11550,-3360,6944,14388,15826,3752,-567,-3716,-5449,3292,14275,-8380,-8566,6856,8529,14703,3886,-6473,15950,-9363,-14378,5708,16341,300,-14954,-13990,10324,-5256,4471,724,9046,-9209,13725,15020,-12828,9401,-12340,8159,-10056,1693,-31
-5722,774,-1700,-5240,7901,5323,5502,-297,10698,-12635,2761,-8053,4264,-3617,-9143,11485,-11734,9358,-9799,-8171,-12284,5477,-10147,8145,11441,-337,-10561,-973,16161,-1045,-1313,12703,7487,-4171,7029,-8496,10168,-2311,12696,-13195,-6184,1166,-10695,13967,10211,9340,14749,13136,7615,14730
2616,-16017,13752,9865,-11425,-14589,3910,14687,1999,-215,10372,-10436,-7166,9065,1421,-13371,-10352,1471,14277,11458,-13726,-14820,7338,-13342,8799,-5091,-9529,10786,-4561,6894,-2841,-10762,-6550,-297,7016,8452,-12640,12220,-9055,-16006,11419,-14135,-11052,-5427,4756,301,9392,-4918,6393,-4175
10767,15550,11883,13401,-475,11792,-6510,-2992,2460,-15889,4020,-5943,9529,708,-7723,-7468,15459,-1362,11332,6152,5538,10233,8622,9658,16192,-12997,-14770,8328,13412,-11843,4402,-15426,-10765,12485,-14445,-4683,-6029,8479,-10051,-13308,-7829,10622,1728,2163,8447,-16103,12914,-12355,-12751,12740
1228,13199,-11795,-6366,-8030,-5063,-5413,10861,-16204,14744,3781,6392,11721,-13466,-1442,7507,5222,-1355,-11770,-7196,-6223,4773,2130,2714,-9799,-7899,14739,12307,7715,-13758,3368,-61,10188,2044,2351,-12097,3262,-9705,-700,-9751,9365,5654,16170,-16374,14442,12613,-4893,3858,-8925,-3223
14317,1433,-14223,-13685,-10583,13756,3482,-12079,14942,-15592,13374,10194,3815,-15183,15509,10024,10873,-14874,-8689,-1678,9562,-1197,-590,7011,-10877,-6977,7790,-15884,-5204,15379,-6572,4749,15212,8044,13737,-12522,-1560,-7696,-12595,-13464,2494,-2709,12880,-1130,9431,7181,-5388,8649,-1095,10816
-15785,-12120,6885,11012,-10989,8907,86,-7781,-7902,-15617,-10996,-15027,14309,-7374,12583,-8223,9862,1783,10532,-3336,-14483,5516,4035,7830,-7637,-7075,-10854,-15975,-5356,-4819,-3856,549,8612,-2671,-6737,10739,-1016,-13260,12022,-8617,6747,9048,-12820,6982,-8563,15051,-11152,-15361,-5062,5915
-12497,3401,-1849,-16063,1974,13516,13151,-5346,15850,6983,-12497,1379,-3288,10402,2052,2477,4165,-2062,10298,-11788,16379,-16001,-5866,-437,16256,-13630,-958,-13260,-12394,-6840,-15872,1713,9992,16214,-2137,13248,-11000,-14938,4085,1715,10780,2715,4442,10335,-9026,4414,-4402,-5843,-13618,-9385
-36,14034,-9532,-4561,8754,-14344,-6221,444,-14634,-10872,10859,12565,8909,8099,-3224,3840,2208,10175,14131,15451,-5170,3226,-12669,-6510,-11603,14115,-14575,892,3050,9771,13255,-15606,1202,9451,3578,-3201,-4446,11182,7568,-15737,3666,398,-11270,6143,10735,-11733,-14942,-1731,2712,-6756
-12827,-16262,-12624,-7103,-10560,9910,-5722,3355,-12685,16268,-11882,13080,-14608,13137,-8451,12260,-3314,-2109,560,-3476,-12447,10975,490,2027,5499,2042,8472,10764,-10350,3949,10866,-1077,5308,13533,-3941,5559,1340,-1763,8296,-4648,-14723,4025,6510,-13440,12390,-14330,-1545,1807,15121,-16366
-12411,-1569,6932,12418,371,1501,-14618,870,4509,15277,7511,8913,13131,16288,8377,-15370,6796,11001,-16274,-11402,-10028,12586,4931,-4852,335,-13435,-6619,1533,3882,-10619,2991,-10454,-6010,-2537,-11133,13841,-4795,-13499,1275,-9072,15570,-7668,-12492,-14707,-15731,3831,-2656,-11351,-7033,9827
10024,986,7805,4169,4968,-533,6914,7336,8640,2439,-11889,-9875,-2082,-6448,-13888,-11810,2742,-954,14733,6954,-13690,6493,-2294,6886,-15057,-1382,-9659,-7253,-7410,-4960,-15828,10691,15753,11596,12558,-12540,-3678,15164,-10284,6857,154,-10963,-15768,10150,-11713,566,6878,12837,-7330,10615
11263,-4545,-13633,5436,4583,14942,-11477,-2230,-50,5171,-6980,-10701,4482,-9300,-4689,-3855,7852,10731,-6473,-10108,193,-9579,12417,-8023,13742,10646,1042,2216,9016,10414,-222,-280,6374,2692,15559,7167,-10261,-14953,-799,-1272,13086,-6358,-3114,14478,15034,-5716,2261,-15151,-9298,-6406
-1587,-2961,-4887,4211,12909,-661,-2224,-4241,-12052,10385,5949,-261,-2606,6425,9778,2492,1870,-12195,2389,219,-2895,-12358,2382,15665,12775,4603,-9887,14519,-6742,15194,-9325,-5647,11505,-14205,3004,9792,2150,-10048,-4149,-4126,7808,-7772,5953,-3435,-5476,-437,-6805,-14667,4700,13767
-2384,-5427,8141,14403,1064,16066,8369,11561,11946,5494,-8045,8652,-10634,15551,6055,14017,13227,-4738,-6241,-9704,-10042,710,1768,-14128,3826,10721,-8808,9256,5927,-11786,-9015,-323,-1099,1087,1469,-1065,-15784,-6531,2498,-8060,-1826,-2171,7146,3275,-12604,-6928,9702,-1009,3817,-10988
-3829,-1789,3823,-8020,3388,14493,12602,9016,10958,-495,-12113,-280,2669,-3694,11,-14454,10857,15049,12094,2670,9289,7616,-5441,-1543,10925,13004,-7791,16012,9576,-13222,4230,10049,-4965,324,1225,-3466,6725,-4671,3519,-6436,-11310,-13346,13951,15834,-3196,13228,-12513,-1434,-782,-3251
12634,-1952,11434,-14529,-5318,5311,-4557,13855,6524,-508,4825,14041,-14171,8305,6625,-177,4055,11670,-14279,1053,267,-9245,-604,-6902,-11949,-809,-5648,-1654,11882,-571,-1293,-7252,-3359,463,10664,-15083,-10803,-10156,-11760,32,3004,-10622,-11944,15353,13966,-4253,5216,1412,4314,-11766
-6758,14164,-11887,-11599,-13575,-5653,5723,3725,3053,-9120,773,1381,5154,4084,9235,-14245,16203,16015,-2830,13488,-11820,10261,-7543,114,10406,-770,-9145,3913,-12573,-6134,-13875,-2247,4134,64,-13385,8016,7272,-8867,-1214,9515,8705,13090,-13441,-2674,9702,6797,-4467,-7226,9040,10308
-6672,-9854,12702,-4381,-14190,10204,10811,-3012,-2089,8412,3144,10886,10412,-1164,-4084,-3364,11695,11552,-2965,-4580,16125,5907,10446,-13589,-13057,-5437,2496,4611,-4786,5474,-11736,8606,-11149,2955,12572,7440,-884,4616,9822,-15890,-5287,5923,-12516,4904,3556,-15589,5755,9142,-1,8122
16224,5660,-9838,-11853,10418,8312,-4359,-3956,-4197,-5207,7532,5241,-2292,1404,-3340,-4821,5308,4823,-13325,9886,11964,3449,-2114,6813,8073,-10872,9542,-10688,-8934,5290,2501,10611,13081,-575,-3749,-1503,-6814,-4700,-1822,6698,442,11825,-4561,15782,15954,-2306,-7239,-14015,15194,-11923
11465,2267,14440,5228,7939,-16264,-6758,-13081,14255,11870,2456,-16295,-10496,8733,4054,1608,-14097,4682,10101,-6740,-5675,-2783,3862,11858,-9772,-11434,5037,9538,3504,6700,6485,873,-11172,-10640,13601,-7374,13671,-13080,-5795,6214,-6971,-16250,2432,7655,629,8897,6529,-12160,-6790,4351
-14177,10205,7434,-10985,10767,12990,11548,-2267,-5933,-13877,-1289,14483,7504,-14862,-4521,-1233,13412,-1926,-9083,-5629,-14130,7270,-11836,1332,-2191,-2913,-8121,13378,6687,-5933,-13960,15530,12500,2786,15159,4529,-7636,4457,-15451,-5997,-1408,-6642,-5896,15467,-7453,-5244,4255,8705,-14254,-12647
-951,-8310,7684,-4899,-7435,8672,14207,-14708,-7595,1439,-7099,-7632,818,16024,-9255,-8097,16309,-6250,5262,-14398,-5882,-12871,10718,-3259,13434,9685,8081,-10710,15264,-6314,15273,15598,-1116,7539,14629,-2106,-12853,-14590,5271,-15753,1915,1628,-9429,-9899,14650,383,2274,234,-2307,-13514
